query_id,map,recall_100,recall_1000,ndcg_cut_10,ndcg_cut_1000
d40a44b633a216fc65484a60dadd48ac,0.036582519186536405,0.3333333333333333,1.0,0.0,0.253710950466676
1200cc678dce697633576f9941994baa,0.045212765957446804,0.3333333333333333,0.6666666666666666,0.1480409554829326,0.21009645432805105
e54f68f74633d43b86d0247af6197544,0.1,1.0,1.0,0.2890648263178879,0.2890648263178879
e874f77079e2943bfe8c7ab5985bba33,0.02263212977498692,0.5,1.0,0.0,0.1725916349493108
910db656ed939dbb0b017843db25e2b5,0.0,0.0,0.0,0.0,0.0
328e016c9773ff748f749f1fdd081b8d,0.75,1.0,1.0,0.8772153153380493,0.8772153153380493
ef401e491a89991d822ec491f94e3639,0.5271887801705789,0.9,1.0,0.4749754544209363,0.7334231001326126
58693f8e42bc57d9db6db40b90b142de,1.0,1.0,1.0,1.0,1.0
0b155c7fdc95ddd69962e106dfaed576,0.41666666666666663,1.0,1.0,0.6052602440527057,0.6052602440527057
721f5289656546b698a36571b2d86c4b,0.8306878306878307,1.0,1.0,0.6740137167716873,0.7681921737450291
cc613b02ecdaf8f4e2e025008eb8680c,0.0,0.0,0.0,0.0,0.0
40a8df88721f3a9f1363c47c7d996d5e,0.0,0.0,0.0,0.0,0.0
dfe9c87036812c15b429bfaa041ee6c2,0.0,0.0,0.0,0.0,0.0
286b151fe9f88f9457878c2655e4f2da,0.03761214630779848,1.0,1.0,0.0,0.2359212331552696
27d5a858b54377ad38312dc515812683,0.0,0.0,0.0,0.0,0.0
c62b2b80a8db46cbcb0866776a155ae9,0.0,0.0,0.0,0.0,0.0
d469026fee5ebf4230d3ec5f9501e621,0.0,0.0,0.0,0.0,0.0
504ba8f0091eef715f16ccbb63ed5ac9,0.5,0.5,0.5,0.6131471927654584,0.6131471927654584
2eff8040c4e28557c51361ab9b8db57d,0.31583872901123927,0.8666666666666667,1.0,0.27733701506236197,0.6137399318929617
30c3ebbc6708a3454d82f9a8c11796fa,0.07692307692307693,1.0,1.0,0.0,0.26264953503719357
2fae882aa26665d7522162f134babcdf,0.0,0.0,0.0,0.0,0.0
a64207e4bf8ec20e09918f9831197c50,0.14285714285714285,1.0,1.0,0.3333333333333333,0.3333333333333333
1f50741d080a161ff0cde0b31cfd685e,0.034482758620689655,1.0,1.0,0.0,0.2037950470905062
82cd19fadb27746d99d5e6d818097910,0.0,0.0,0.0,0.0,0.0
dc1849c0ec8ffd02455d02e00a690950,0.0,0.0,0.0,0.0,0.0
c613c39de9464d090499baed3e86eec5,0.0,0.0,0.0,0.0,0.0
343570543e89b17f992e31c939eb8baf,1.0,1.0,1.0,1.0,1.0
45d19e089d62f6d06d3fbb1676ae4b85,0.698051948051948,1.0,1.0,0.8322826352853723,0.91060205670461
1f4a02148d3138e7a04d14cca49f0f4e,0.5555555555555555,1.0,1.0,0.6229217554079371,0.6229217554079371
7fc59cf2e1511d45688b1b9e6c90b1f5,1.0,1.0,1.0,1.0,1.0
eb0c676dd89c26b532399101064cf7d2,0.0,0.0,0.0,0.0,0.0
f86f41648ba908f4c469ef17802f0511,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3354350434265105,0.3354350434265105
161820e44e7022cf44fd99a59bce5792,0.00847457627118644,0.5,0.5,0.0,0.12869504202380697
ebf4a2df691a9df61502f18150f2a9ee,0.43741765480895917,1.0,1.0,0.46927872602275644,0.7025324204740192
3a180af85b747f6a7c2f74ec1a6e8b24,0.22814685314685315,1.0,1.0,0.19519002499605084,0.4906806928180636
7583b65656affbcc148b545b75dfc968,1.0,1.0,1.0,1.0,1.0
a40f25e65758d13cbdc2f0053175e050,1.0,1.0,1.0,1.0,1.0
cf5992cd1306b7aa71afb466b25f8195,0.0,0.0,0.0,0.0,0.0
23b98abd4686855f0ed05c6d1a01e2b9,0.5,1.0,1.0,0.6309297535714575,0.6309297535714575
1a2f5d355af40cba5cc9ad1ffddd114e,0.42735042735042733,1.0,1.0,0.5307212739772434,0.6294152442991986
e7abd0f60b9f4306e06dcd05a3cf8a34,0.0,0.0,0.0,0.0,0.0
32dcf5f64658b023229d877bf4a86084,0.033516483516483515,1.0,1.0,0.0,0.22564419642197164
f9ae0f99d7403b40d78e3d3d103d6a1c,0.5,1.0,1.0,0.6309297535714575,0.6309297535714575
9c6556134c7d06548f65d0e363b69f44,1.0,1.0,1.0,1.0,1.0
35e64efe49a5eb9b5f9ee7e7464352fc,0.07997557997557997,0.5,1.0,0.20438239758848611,0.2934684054444811
123cf37ccef0961a82918ad95c391866,0.5333333333333333,1.0,1.0,0.6636894225850813,0.6636894225850813
4eb1811f5597cbb51193ff49c7d79af9,0.2,1.0,1.0,0.38685280723454163,0.38685280723454163
0e8e69ebcd11bc70aeb0102176cbf69b,0.532258064516129,1.0,1.0,0.6131471927654584,0.73577663131855
2d885b04956ddd2e729af5d7e6f50384,0.0,0.0,0.0,0.0,0.0
1c6ca51a558f678acf1b1d1a8b145f54,1.0,1.0,1.0,1.0,1.0
5980d90c7c34207a2ea5476d8be72f7d,0.7586013882136878,1.0,1.0,0.7125523635307982,0.9251884727350839
838027a4fcf857b3d4ddfeebf94faad6,0.0,0.0,0.0,0.0,0.0
f2160ef29c1c99e11953a5465c7a10b3,0.0,0.0,0.0,0.0,0.0
faf500cb32740da36d22ed8e719f9484,1.0,1.0,1.0,1.0,1.0
072f1af47be326cbe50092e56576c209,0.30192307692307696,1.0,1.0,0.3191471544989227,0.527175877352255
b8d04877eb27228be265b3bf332ec1b4,0.3076178451178451,1.0,1.0,0.3037758075434247,0.5672622618918967
fefe337967a82517f54ffed125c4b843,0.0,0.0,0.0,0.0,0.0
ff9451260a60844bedd2d4f42c434db4,1.0,1.0,1.0,1.0,1.0
10fdb11b13fff4b822ddc239ad6f3969,0.21505197228144987,0.75,1.0,0.24630238874073,0.4968932222776797
14d317d015117766bee743c1503b9307,0.09090909090909091,1.0,1.0,0.0,0.27894294565112987
19a43a2b512e5ddd5e1b336c958b892e,1.0,1.0,1.0,1.0,1.0
7028b649b77f6ca3ff7b4170b9c27658,0.0,0.0,0.0,0.0,0.0
aaefb77ea38b942acc70b430c5a84078,0.0,0.0,0.0,0.0,0.0
ba1277eed48fe5fc09db5513b8c4be8b,0.0,0.0,0.0,0.0,0.0
667d3011d775d6892b99824e96fd5cc9,0.0,0.0,0.0,0.0,0.0
21e8c323e168b0813eff14fdac972f1f,0.0,0.0,0.0,0.0,0.0
e8ebed4fee9260028923885e9eb9a242,0.16666666666666666,1.0,1.0,0.3562071871080222,0.3562071871080222
c5090df276f619e3516a862007a521d3,0.0,0.0,0.0,0.0,0.0
3364789dac36e8123f8dd056561eaf33,0.3333333333333333,1.0,1.0,0.5,0.5
9e8e1070b5a2631b490a235c3e49eea8,0.2,1.0,1.0,0.38685280723454163,0.38685280723454163
f9cfc9d84b800a51132ca858cc567e6e,0.7555555555555555,1.0,1.0,0.8854598815714874,0.8854598815714874
c95008170a16f8088d6b601bfdade573,0.2458500361833333,0.4,1.0,0.18148604814387062,0.42366065327913144
38323ace1b617b418f533f54c09c7228,0.0,0.0,0.0,0.0,0.0
99f4fe5aef26841974824242f9099457,0.2611111111111111,1.0,1.0,0.2960819109658652,0.5202423967333446
3126294258753cc2e2eb7b7053bf2131,0.004464285714285714,0.0,1.0,0.0,0.12797901240490775
980a8949538c372771a8e07536e98ddd,0.0,0.0,0.0,0.0,0.0
b0819a255ce068f1a6a079fe31f530b3,0.5748299319727891,1.0,1.0,0.6127063524974966,0.7943221382608346
d606782194b6084ebfe957206e386d01,0.6460239036325992,0.8571428571428571,1.0,0.7597372923822429,0.8550355675749373
457a31118f77a546ba448804ddbb23ab,0.13283389984218674,0.7777777777777778,0.8888888888888888,0.04945293352886477,0.3525974533153473
b2dd7a2e85f350103e0ad22796fb9b0a,0.0,0.0,0.0,0.0,0.0
f559875a4f4af463696bfef04c775147,0.75,1.0,1.0,0.8772153153380493,0.8772153153380493
b6e83d494701496aabe6a6b0f308dbd5,0.045454545454545456,1.0,1.0,0.0,0.22106472945750374
34761729cc3fd73195d5840b733ca362,0.0,0.0,0.0,0.0,0.0
a55562e661e2a0b1a29185e00439402a,0.04430949167791273,0.5,1.0,0.0,0.24360750774171272
f8170966870f22526a56eb87f181b12c,0.375,1.0,1.0,0.5995311664203287,0.5995311664203287
35bb643809f197b68021794ad8ad1319,0.75,1.0,1.0,0.9238850086262381,0.9238850086262381
9415292a51163e822f6347f57cdfd762,0.0,0.0,0.0,0.0,0.0
ef8e207b13d16b374d21d649357dd43b,0.0,0.0,0.0,0.0,0.0
5a889567c7096c0801a004e4755d7c9d,0.05971627446823546,0.75,1.0,0.11284514134893527,0.30934735982718853
38a5737828cd22eb5c45c3fbe66340d5,0.39285714285714285,1.0,1.0,0.5912352048230277,0.5912352048230277
d540f26d75ef66d68559ad827a280fd9,0.0,0.0,0.0,0.0,0.0
5a027ebb79a4b16c5ecb16737c2fec26,0.22619047619047616,1.0,1.0,0.3887879759564652,0.3887879759564652
b5add364fa0fea003903862eb30c4ba1,1.0,1.0,1.0,1.0,1.0
66aa4fe59b0d5d3465d108fde45ef3b3,0.7097402597402597,1.0,1.0,0.8122682216087223,0.8872445806302857
91fbd1574eab37719bf8b693b6f85628,0.6875,0.75,0.75,0.8048099750039491,0.8048099750039491
e7c142a4da595b78d3b4066ebf5d34e3,0.1419491525423729,1.0,1.0,0.2640681225725909,0.3678701454543593
